"","Tm","Year","Date","Time","LTime","at","Opp","Week","G.","Day","Result","OT","Location","Surface","Roof","Temperature","turf_spec","Stadium","Surface_detailed","Surface_3cat","Surface_2cat","n_injs","Surface_all","TeamYear"
"1518","ATL",2021,"10/3/2021","","","","WAS",4,4,"Sun","L 30-34","","ATL","fieldturf","","","FieldTurf CORE","ATL-MB","FieldTurf CORE/Revolution 360","Other Artificial","Artificial Turf",4,"FieldTurf CORE/Revolution 360","ATL 2021"
"1519","ATL",2021,"10/31/2021","","","","CAR",8,7,"Sun","L 13-19","","ATL","fieldturf","","","FieldTurf CORE","ATL-MB","FieldTurf CORE/Revolution 360","Other Artificial","Artificial Turf",0,"FieldTurf CORE/Revolution 360","ATL 2021"
"1520","ATL",2021,"11/18/2021","","","","NE",11,10,"Thu","L 0-25","","ATL","fieldturf","","","FieldTurf CORE","ATL-MB","FieldTurf CORE/Revolution 360","Other Artificial","Artificial Turf",1,"FieldTurf CORE/Revolution 360","ATL 2021"
"1521","ATL",2021,"12/5/2021","","","","TB",13,12,"Sun","L 17-30","","ATL","fieldturf","","","FieldTurf CORE","ATL-MB","FieldTurf CORE/Revolution 360","Other Artificial","Artificial Turf",2,"FieldTurf CORE/Revolution 360","ATL 2021"
"1522","ATL",2021,"12/26/2021","","","","DET",16,15,"Sun","W 20-16","","ATL","fieldturf","","","FieldTurf CORE","ATL-MB","FieldTurf CORE/Revolution 360","Other Artificial","Artificial Turf",0,"FieldTurf CORE/Revolution 360","ATL 2021"
"1523","ATL",2021,"1/9/2022","","","","NO",18,17,"Sun","L 20-30","","ATL","fieldturf","","","FieldTurf CORE","ATL-MB","FieldTurf CORE/Revolution 360","Other Artificial","Artificial Turf",0,"FieldTurf CORE/Revolution 360","ATL 2021"
"1524","CAR",2021,"10/31/2021","","","@","ATL",8,8,"Sun","W 19-13","","ATL","fieldturf","","","FieldTurf CORE","ATL-MB","FieldTurf CORE/Revolution 360","Other Artificial","Artificial Turf",1,"FieldTurf CORE/Revolution 360","CAR 2021"
"1525","DET",2021,"12/26/2021","","","@","ATL",16,15,"Sun","L 16-20","","ATL","fieldturf","","","FieldTurf CORE","ATL-MB","FieldTurf CORE/Revolution 360","Other Artificial","Artificial Turf",2,"FieldTurf CORE/Revolution 360","DET 2021"
"1526","NO",2021,"1/9/2022","","","@","ATL",18,17,"Sun","W 30-20","","ATL","fieldturf","","","FieldTurf CORE","ATL-MB","FieldTurf CORE/Revolution 360","Other Artificial","Artificial Turf",0,"FieldTurf CORE/Revolution 360","NO 2021"
"1527","NE",2021,"11/18/2021","","","@","ATL",11,11,"Thu","W 25-0","","ATL","fieldturf","","","FieldTurf CORE","ATL-MB","FieldTurf CORE/Revolution 360","Other Artificial","Artificial Turf",0,"FieldTurf CORE/Revolution 360","NE 2021"
"1528","PHI",2021,"9/12/2021","","","@","ATL",1,1,"Sun","W 32-6","","ATL","fieldturf","","","FieldTurf CORE","ATL-MB","FieldTurf CORE/Revolution 360","Other Artificial","Artificial Turf",0,"FieldTurf CORE/Revolution 360","PHI 2021"
"1529","TB",2021,"12/5/2021","","","@","ATL",13,12,"Sun","W 30-17","","ATL","fieldturf","","","FieldTurf CORE","ATL-MB","FieldTurf CORE/Revolution 360","Other Artificial","Artificial Turf",1,"FieldTurf CORE/Revolution 360","TB 2021"
"1530","WAS",2021,"10/3/2021","","","@","ATL",4,4,"Sun","W 34-30","","ATL","fieldturf","","","FieldTurf CORE","ATL-MB","FieldTurf CORE/Revolution 360","Other Artificial","Artificial Turf",5,"FieldTurf CORE/Revolution 360","WAS 2021"
"1531","BUF",2021,"12/26/2021","","","@","NE",16,15,"Sun","W 33-21","","NWE","fieldturf","","","FieldTurf CORE","NWE","FieldTurf CORE/Revolution 360","Other Artificial","Artificial Turf",2,"FieldTurf CORE/Revolution 360","BUF 2021"
"1532","CLE",2021,"11/14/2021","","","@","NE",10,10,"Sun","L 7-45","","NWE","fieldturf","","","FieldTurf CORE","NWE","FieldTurf CORE/Revolution 360","Other Artificial","Artificial Turf",0,"FieldTurf CORE/Revolution 360","CLE 2021"
"1533","DAL",2021,"10/17/2021","","","@","NE",6,6,"Sun","W 35-29 (OT)","OT","NWE","fieldturf","","","FieldTurf CORE","NWE","FieldTurf CORE/Revolution 360","Other Artificial","Artificial Turf",2,"FieldTurf CORE/Revolution 360","DAL 2021"
"1534","JAX",2021,"1/2/2022","","","@","NE",17,16,"Sun","L 10-50","","NWE","fieldturf","","","FieldTurf CORE","NWE","FieldTurf CORE/Revolution 360","Other Artificial","Artificial Turf",0,"FieldTurf CORE/Revolution 360","JAX 2021"
"1535","MIA",2021,"9/12/2021","","","@","NE",1,1,"Sun","W 17-16","","NWE","fieldturf","","","FieldTurf CORE","NWE","FieldTurf CORE/Revolution 360","Other Artificial","Artificial Turf",1,"FieldTurf CORE/Revolution 360","MIA 2021"
"1536","NO",2021,"9/26/2021","","","@","NE",3,3,"Sun","W 28-13","","NWE","fieldturf","","","FieldTurf CORE","NWE","FieldTurf CORE/Revolution 360","Other Artificial","Artificial Turf",0,"FieldTurf CORE/Revolution 360","NO 2021"
"1537","NE",2021,"9/12/2021","","","","MIA",1,1,"Sun","L 16-17","","NWE","fieldturf","","","FieldTurf CORE","NWE","FieldTurf CORE/Revolution 360","Other Artificial","Artificial Turf",1,"FieldTurf CORE/Revolution 360","NE 2021"
"1538","NE",2021,"9/26/2021","","","","NO",3,3,"Sun","L 13-28","","NWE","fieldturf","","","FieldTurf CORE","NWE","FieldTurf CORE/Revolution 360","Other Artificial","Artificial Turf",1,"FieldTurf CORE/Revolution 360","NE 2021"
"1539","NE",2021,"10/3/2021","","","","TB",4,4,"Sun","L 17-19","","NWE","fieldturf","","","FieldTurf CORE","NWE","FieldTurf CORE/Revolution 360","Other Artificial","Artificial Turf",2,"FieldTurf CORE/Revolution 360","NE 2021"
"1540","NE",2021,"10/17/2021","","","","DAL",6,6,"Sun","L 29-35 (OT)","OT","NWE","fieldturf","","","FieldTurf CORE","NWE","FieldTurf CORE/Revolution 360","Other Artificial","Artificial Turf",2,"FieldTurf CORE/Revolution 360","NE 2021"
"1541","NE",2021,"10/24/2021","","","","NYJ",7,7,"Sun","W 54-13","","NWE","fieldturf","","","FieldTurf CORE","NWE","FieldTurf CORE/Revolution 360","Other Artificial","Artificial Turf",1,"FieldTurf CORE/Revolution 360","NE 2021"
"1542","NE",2021,"11/14/2021","","","","CLE",10,10,"Sun","W 45-7","","NWE","fieldturf","","","FieldTurf CORE","NWE","FieldTurf CORE/Revolution 360","Other Artificial","Artificial Turf",1,"FieldTurf CORE/Revolution 360","NE 2021"
"1543","NE",2021,"11/28/2021","","","","TEN",12,12,"Sun","W 36-13","","NWE","fieldturf","","","FieldTurf CORE","NWE","FieldTurf CORE/Revolution 360","Other Artificial","Artificial Turf",0,"FieldTurf CORE/Revolution 360","NE 2021"
"1544","NE",2021,"12/26/2021","","","","BUF",16,15,"Sun","L 21-33","","NWE","fieldturf","","","FieldTurf CORE","NWE","FieldTurf CORE/Revolution 360","Other Artificial","Artificial Turf",2,"FieldTurf CORE/Revolution 360","NE 2021"
"1545","NE",2021,"1/2/2022","","","","JAX",17,16,"Sun","W 50-10","","NWE","fieldturf","","","FieldTurf CORE","NWE","FieldTurf CORE/Revolution 360","Other Artificial","Artificial Turf",1,"FieldTurf CORE/Revolution 360","NE 2021"
"1546","NYJ",2021,"10/24/2021","","","@","NE",7,6,"Sun","L 13-54","","NWE","fieldturf","","","FieldTurf CORE","NWE","FieldTurf CORE/Revolution 360","Other Artificial","Artificial Turf",5,"FieldTurf CORE/Revolution 360","NYJ 2021"
"1547","TB",2021,"10/3/2021","","","@","NE",4,4,"Sun","W 19-17","","NWE","fieldturf","","","FieldTurf CORE","NWE","FieldTurf CORE/Revolution 360","Other Artificial","Artificial Turf",2,"FieldTurf CORE/Revolution 360","TB 2021"
"1548","TEN",2021,"11/28/2021","","","@","NE",12,12,"Sun","L 13-36","","NWE","fieldturf","","","FieldTurf CORE","NWE","FieldTurf CORE/Revolution 360","Other Artificial","Artificial Turf",3,"FieldTurf CORE/Revolution 360","TEN 2021"
"1549","ATL",2020,"9/13/2020","","","","SEA",1,1,"Sun","L 25-38","","ATL","fieldturf","","","FieldTurf CORE","ATL-MB","FieldTurf CORE/Revolution 360","Other Artificial","Artificial Turf",0,"FieldTurf CORE/Revolution 360","ATL 2020"
"1550","ATL",2020,"9/27/2020","","","","CHI",3,3,"Sun","L 26-30","","ATL","fieldturf","","","FieldTurf CORE","ATL-MB","FieldTurf CORE/Revolution 360","Other Artificial","Artificial Turf",3,"FieldTurf CORE/Revolution 360","ATL 2020"
"1551","ATL",2020,"10/11/2020","","","","CAR",5,5,"Sun","L 16-23","","ATL","fieldturf","","","FieldTurf CORE","ATL-MB","FieldTurf CORE/Revolution 360","Other Artificial","Artificial Turf",0,"FieldTurf CORE/Revolution 360","ATL 2020"
"1552","ATL",2020,"10/25/2020","","","","DET",7,7,"Sun","L 22-23","","ATL","fieldturf","","","FieldTurf CORE","ATL-MB","FieldTurf CORE/Revolution 360","Other Artificial","Artificial Turf",0,"FieldTurf CORE/Revolution 360","ATL 2020"
"1553","ATL",2020,"11/8/2020","","","","DEN",9,9,"Sun","W 34-27","","ATL","fieldturf","","","FieldTurf CORE","ATL-MB","FieldTurf CORE/Revolution 360","Other Artificial","Artificial Turf",1,"FieldTurf CORE/Revolution 360","ATL 2020"
"1554","ATL",2020,"11/29/2020","","","","LV",12,11,"Sun","W 43-6","","ATL","fieldturf","","","FieldTurf CORE","ATL-MB","FieldTurf CORE/Revolution 360","Other Artificial","Artificial Turf",1,"FieldTurf CORE/Revolution 360","ATL 2020"
"1555","ATL",2020,"12/6/2020","","","","NO",13,12,"Sun","L 16-21","","ATL","fieldturf","","","FieldTurf CORE","ATL-MB","FieldTurf CORE/Revolution 360","Other Artificial","Artificial Turf",0,"FieldTurf CORE/Revolution 360","ATL 2020"
"1556","ATL",2020,"12/20/2020","","","","TB",15,14,"Sun","L 27-31","","ATL","fieldturf","","","FieldTurf CORE","ATL-MB","FieldTurf CORE/Revolution 360","Other Artificial","Artificial Turf",1,"FieldTurf CORE/Revolution 360","ATL 2020"
"1557","CAR",2020,"10/11/2020","","","@","ATL",5,5,"Sun","W 23-16","","ATL","fieldturf","","","FieldTurf CORE","ATL-MB","FieldTurf CORE/Revolution 360","Other Artificial","Artificial Turf",5,"FieldTurf CORE/Revolution 360","CAR 2020"
"1558","CHI",2020,"9/27/2020","","","@","ATL",3,3,"Sun","W 30-26","","ATL","fieldturf","","","FieldTurf CORE","ATL-MB","FieldTurf CORE/Revolution 360","Other Artificial","Artificial Turf",2,"FieldTurf CORE/Revolution 360","CHI 2020"
"1559","DEN",2020,"11/8/2020","","","@","ATL",9,8,"Sun","L 27-34","","ATL","fieldturf","","","FieldTurf CORE","ATL-MB","FieldTurf CORE/Revolution 360","Other Artificial","Artificial Turf",4,"FieldTurf CORE/Revolution 360","DEN 2020"
"1560","DET",2020,"10/25/2020","","","@","ATL",7,6,"Sun","W 23-22","","ATL","fieldturf","","","FieldTurf CORE","ATL-MB","FieldTurf CORE/Revolution 360","Other Artificial","Artificial Turf",0,"FieldTurf CORE/Revolution 360","DET 2020"
"1561","LV",2020,"11/29/2020","","","@","ATL",12,11,"Sun","L 6-43","","ATL","fieldturf","","","FieldTurf CORE","ATL-MB","FieldTurf CORE/Revolution 360","Other Artificial","Artificial Turf",3,"FieldTurf CORE/Revolution 360","LV 2020"
"1562","NO",2020,"12/6/2020","","","@","ATL",13,12,"Sun","W 21-16","","ATL","fieldturf","","","FieldTurf CORE","ATL-MB","FieldTurf CORE/Revolution 360","Other Artificial","Artificial Turf",0,"FieldTurf CORE/Revolution 360","NO 2020"
"1563","SEA",2020,"9/13/2020","","","@","ATL",1,1,"Sun","W 38-25","","ATL","fieldturf","","","FieldTurf CORE","ATL-MB","FieldTurf CORE/Revolution 360","Other Artificial","Artificial Turf",0,"FieldTurf CORE/Revolution 360","SEA 2020"
"1564","TB",2020,"12/20/2020","","","@","ATL",15,14,"Sun","W 31-27","","ATL","fieldturf","","","FieldTurf CORE","ATL-MB","FieldTurf CORE/Revolution 360","Other Artificial","Artificial Turf",1,"FieldTurf CORE/Revolution 360","TB 2020"
"1565","ARI",2020,"11/29/2020","","","@","NE",12,11,"Sun","L 17-20","","NWE","fieldturf","","","FieldTurf CORE","NWE","FieldTurf CORE/Revolution 360","Other Artificial","Artificial Turf",0,"FieldTurf CORE/Revolution 360","ARI 2020"
"1566","BAL",2020,"11/15/2020","","","@","NE",10,9,"Sun","L 17-23","","NWE","fieldturf","","","FieldTurf CORE","NWE","FieldTurf CORE/Revolution 360","Other Artificial","Artificial Turf",4,"FieldTurf CORE/Revolution 360","BAL 2020"
"1567","BUF",2020,"12/28/2020","","","@","NE",16,15,"Mon","W 38-9","","NWE","fieldturf","","","FieldTurf CORE","NWE","FieldTurf CORE/Revolution 360","Other Artificial","Artificial Turf",1,"FieldTurf CORE/Revolution 360","BUF 2020"
"1568","DEN",2020,"10/18/2020","","","@","NE",6,5,"Sun","W 18-12","","NWE","fieldturf","","","FieldTurf CORE","NWE","FieldTurf CORE/Revolution 360","Other Artificial","Artificial Turf",3,"FieldTurf CORE/Revolution 360","DEN 2020"
"1569","LV",2020,"9/27/2020","","","@","NE",3,3,"Sun","L 20-36","","NWE","fieldturf","","","FieldTurf CORE","NWE","FieldTurf CORE/Revolution 360","Other Artificial","Artificial Turf",2,"FieldTurf CORE/Revolution 360","LV 2020"
"1570","MIA",2020,"9/13/2020","","","@","NE",1,1,"Sun","L 11-21","","NWE","fieldturf","","","FieldTurf CORE","NWE","FieldTurf CORE/Revolution 360","Other Artificial","Artificial Turf",0,"FieldTurf CORE/Revolution 360","MIA 2020"
"1571","NE",2020,"9/13/2020","","","","MIA",1,1,"Sun","W 21-11","","NWE","fieldturf","","","FieldTurf CORE","NWE","FieldTurf CORE/Revolution 360","Other Artificial","Artificial Turf",1,"FieldTurf CORE/Revolution 360","NE 2020"
"1572","NE",2020,"9/27/2020","","","","LV",3,3,"Sun","W 36-20","","NWE","fieldturf","","","FieldTurf CORE","NWE","FieldTurf CORE/Revolution 360","Other Artificial","Artificial Turf",2,"FieldTurf CORE/Revolution 360","NE 2020"
"1573","NE",2020,"10/18/2020","","","","DEN",6,5,"Sun","L 12-18","","NWE","fieldturf","","","FieldTurf CORE","NWE","FieldTurf CORE/Revolution 360","Other Artificial","Artificial Turf",3,"FieldTurf CORE/Revolution 360","NE 2020"
"1574","NE",2020,"10/25/2020","","","","SF",7,6,"Sun","L 6-33","","NWE","fieldturf","","","FieldTurf CORE","NWE","FieldTurf CORE/Revolution 360","Other Artificial","Artificial Turf",4,"FieldTurf CORE/Revolution 360","NE 2020"
"1575","NE",2020,"11/15/2020","","","","BAL",10,9,"Sun","W 23-17","","NWE","fieldturf","","","FieldTurf CORE","NWE","FieldTurf CORE/Revolution 360","Other Artificial","Artificial Turf",0,"FieldTurf CORE/Revolution 360","NE 2020"
"1576","NE",2020,"11/29/2020","","","","ARI",12,11,"Sun","W 20-17","","NWE","fieldturf","","","FieldTurf CORE","NWE","FieldTurf CORE/Revolution 360","Other Artificial","Artificial Turf",1,"FieldTurf CORE/Revolution 360","NE 2020"
"1577","NE",2020,"12/28/2020","","","","BUF",16,15,"Mon","L 9-38","","NWE","fieldturf","","","FieldTurf CORE","NWE","FieldTurf CORE/Revolution 360","Other Artificial","Artificial Turf",2,"FieldTurf CORE/Revolution 360","NE 2020"
"1578","NE",2020,"1/3/2021","","","","NYJ",17,16,"Sun","W 28-14","","NWE","fieldturf","","","FieldTurf CORE","NWE","FieldTurf CORE/Revolution 360","Other Artificial","Artificial Turf",0,"FieldTurf CORE/Revolution 360","NE 2020"
"1579","NYJ",2020,"1/3/2021","","","@","NE",17,16,"Sun","L 14-28","","NWE","fieldturf","","","FieldTurf CORE","NWE","FieldTurf CORE/Revolution 360","Other Artificial","Artificial Turf",0,"FieldTurf CORE/Revolution 360","NYJ 2020"
"1580","SF",2020,"10/25/2020","","","@","NE",7,7,"Sun","W 33-6","","NWE","fieldturf","","","FieldTurf CORE","NWE","FieldTurf CORE/Revolution 360","Other Artificial","Artificial Turf",3,"FieldTurf CORE/Revolution 360","SF 2020"
"1581","ATL",2019,"9/15/2019","20:20","20:20","","PHI",2,2,"Sun","W 24-20","","ATL","fieldturf","dome","","FieldTurf CORE","ATL-MB","FieldTurf CORE/Revolution 360","Other Artificial","Artificial Turf",1,"FieldTurf CORE/Revolution 360","ATL 2019"
"1582","ATL",2019,"9/29/2019","13:00","13:00","","TEN",4,4,"Sun","L 10-24","","ATL","fieldturf","dome","","FieldTurf CORE","ATL-MB","FieldTurf CORE/Revolution 360","Other Artificial","Artificial Turf",2,"FieldTurf CORE/Revolution 360","ATL 2019"
"1583","ATL",2019,"10/20/2019","13:00","13:00","","LAR",7,7,"Sun","L 10-37","","ATL","fieldturf","dome","","FieldTurf CORE","ATL-MB","FieldTurf CORE/Revolution 360","Other Artificial","Artificial Turf",1,"FieldTurf CORE/Revolution 360","ATL 2019"
"1584","ATL",2019,"10/27/2019","13:00","13:00","","SEA",8,8,"Sun","L 20-27","","ATL","fieldturf","dome","65","FieldTurf CORE","ATL-MB","FieldTurf CORE/Revolution 360","Other Artificial","Artificial Turf",1,"FieldTurf CORE/Revolution 360","ATL 2019"
"1585","ATL",2019,"11/24/2019","13:00","13:00","","TB",12,11,"Sun","L 22-35","","ATL","fieldturf","dome","","FieldTurf CORE","ATL-MB","FieldTurf CORE/Revolution 360","Other Artificial","Artificial Turf",0,"FieldTurf CORE/Revolution 360","ATL 2019"
"1586","ATL",2019,"11/28/2019","20:20","20:20","","NO",13,12,"Thu","L 18-26","","ATL","fieldturf","dome","","FieldTurf CORE","ATL-MB","FieldTurf CORE/Revolution 360","Other Artificial","Artificial Turf",1,"FieldTurf CORE/Revolution 360","ATL 2019"
"1587","ATL",2019,"12/8/2019","13:00","13:00","","CAR",14,13,"Sun","W 40-20","","ATL","fieldturf","dome","","FieldTurf CORE","ATL-MB","FieldTurf CORE/Revolution 360","Other Artificial","Artificial Turf",0,"FieldTurf CORE/Revolution 360","ATL 2019"
"1588","ATL",2019,"12/22/2019","13:00","13:00","","JAX",16,15,"Sun","W 24-12","","ATL","fieldturf","dome","","FieldTurf CORE","ATL-MB","FieldTurf CORE/Revolution 360","Other Artificial","Artificial Turf",1,"FieldTurf CORE/Revolution 360","ATL 2019"
"1589","CAR",2019,"12/8/2019","13:00","13:00","@","ATL",14,13,"Sun","L 20-40","","ATL","fieldturf","dome","","FieldTurf CORE","ATL-MB","FieldTurf CORE/Revolution 360","Other Artificial","Artificial Turf",2,"FieldTurf CORE/Revolution 360","CAR 2019"
"1590","JAX",2019,"12/22/2019","13:00","13:00","@","ATL",16,15,"Sun","L 12-24","","ATL","fieldturf","dome","","FieldTurf CORE","ATL-MB","FieldTurf CORE/Revolution 360","Other Artificial","Artificial Turf",0,"FieldTurf CORE/Revolution 360","JAX 2019"
"1591","NO",2019,"11/28/2019","20:20","20:20","@","ATL",13,12,"Thu","W 26-18","","ATL","fieldturf","dome","","FieldTurf CORE","ATL-MB","FieldTurf CORE/Revolution 360","Other Artificial","Artificial Turf",3,"FieldTurf CORE/Revolution 360","NO 2019"
"1592","PHI",2019,"9/15/2019","20:20","20:20","@","ATL",2,2,"Sun","L 20-24","","ATL","fieldturf","dome","","FieldTurf CORE","ATL-MB","FieldTurf CORE/Revolution 360","Other Artificial","Artificial Turf",2,"FieldTurf CORE/Revolution 360","PHI 2019"
"1593","SEA",2019,"10/27/2019","13:00","13:00","@","ATL",8,8,"Sun","W 27-20","","ATL","fieldturf","dome","65","FieldTurf CORE","ATL-MB","FieldTurf CORE/Revolution 360","Other Artificial","Artificial Turf",1,"FieldTurf CORE/Revolution 360","SEA 2019"
"1594","LAR",2019,"10/20/2019","13:00","13:00","@","ATL",7,7,"Sun","W 37-10","","ATL","fieldturf","dome","","FieldTurf CORE","ATL-MB","FieldTurf CORE/Revolution 360","Other Artificial","Artificial Turf",0,"FieldTurf CORE/Revolution 360","LAR 2019"
"1595","TB",2019,"11/24/2019","13:00","13:00","@","ATL",12,11,"Sun","W 35-22","","ATL","fieldturf","dome","","FieldTurf CORE","ATL-MB","FieldTurf CORE/Revolution 360","Other Artificial","Artificial Turf",1,"FieldTurf CORE/Revolution 360","TB 2019"
"1596","TEN",2019,"9/29/2019","13:00","13:00","@","ATL",4,4,"Sun","W 24-10","","ATL","fieldturf","dome","","FieldTurf CORE","ATL-MB","FieldTurf CORE/Revolution 360","Other Artificial","Artificial Turf",2,"FieldTurf CORE/Revolution 360","TEN 2019"
"1597","BUF",2019,"12/21/2019","16:30","16:30","@","NE",16,15,"Sat","L 17-24","","NWE","fieldturf","outdoors","33","FieldTurf CORE","NWE","FieldTurf CORE/Revolution 360","Other Artificial","Artificial Turf",2,"FieldTurf CORE/Revolution 360","BUF 2019"
"1598","CLE",2019,"10/27/2019","16:25","16:25","@","NE",8,7,"Sun","L 13-27","","NWE","fieldturf","outdoors","49","FieldTurf CORE","NWE","FieldTurf CORE/Revolution 360","Other Artificial","Artificial Turf",2,"FieldTurf CORE/Revolution 360","CLE 2019"
"1599","DAL",2019,"11/24/2019","16:25","16:25","@","NE",12,11,"Sun","L 9-13","","NWE","fieldturf","outdoors","38","FieldTurf CORE","NWE","FieldTurf CORE/Revolution 360","Other Artificial","Artificial Turf",1,"FieldTurf CORE/Revolution 360","DAL 2019"
"1600","KC",2019,"12/8/2019","16:25","16:25","@","NE",14,13,"Sun","W 23-16","","NWE","fieldturf","outdoors","32","FieldTurf CORE","NWE","FieldTurf CORE/Revolution 360","Other Artificial","Artificial Turf",0,"FieldTurf CORE/Revolution 360","KC 2019"
"1601","MIA",2019,"12/29/2019","13:00","13:00","@","NE",17,16,"Sun","W 27-24","","NWE","fieldturf","outdoors","43","FieldTurf CORE","NWE","FieldTurf CORE/Revolution 360","Other Artificial","Artificial Turf",0,"FieldTurf CORE/Revolution 360","MIA 2019"
"1602","NE",2019,"9/8/2019","20:20","20:20","","PIT",1,1,"Sun","W 33-3","","NWE","fieldturf","outdoors","66","FieldTurf CORE","NWE","FieldTurf CORE/Revolution 360","Other Artificial","Artificial Turf",1,"FieldTurf CORE/Revolution 360","NE 2019"
"1603","NE",2019,"9/22/2019","13:00","13:00","","NYJ",3,3,"Sun","W 30-14","","NWE","fieldturf","outdoors","81","FieldTurf CORE","NWE","FieldTurf CORE/Revolution 360","Other Artificial","Artificial Turf",2,"FieldTurf CORE/Revolution 360","NE 2019"
"1604","NE",2019,"10/10/2019","20:20","20:20","","NYG",6,6,"Thu","W 35-14","","NWE","fieldturf","outdoors","54","FieldTurf CORE","NWE","FieldTurf CORE/Revolution 360","Other Artificial","Artificial Turf",1,"FieldTurf CORE/Revolution 360","NE 2019"
"1605","NE",2019,"10/27/2019","16:25","16:25","","CLE",8,8,"Sun","W 27-13","","NWE","fieldturf","outdoors","49","FieldTurf CORE","NWE","FieldTurf CORE/Revolution 360","Other Artificial","Artificial Turf",0,"FieldTurf CORE/Revolution 360","NE 2019"
"1606","NE",2019,"11/24/2019","16:25","16:25","","DAL",12,11,"Sun","W 13-9","","NWE","fieldturf","outdoors","38","FieldTurf CORE","NWE","FieldTurf CORE/Revolution 360","Other Artificial","Artificial Turf",0,"FieldTurf CORE/Revolution 360","NE 2019"
"1607","NE",2019,"12/8/2019","16:25","16:25","","KC",14,13,"Sun","L 16-23","","NWE","fieldturf","outdoors","32","FieldTurf CORE","NWE","FieldTurf CORE/Revolution 360","Other Artificial","Artificial Turf",0,"FieldTurf CORE/Revolution 360","NE 2019"
"1608","NE",2019,"12/21/2019","16:30","16:30","","BUF",16,15,"Sat","W 24-17","","NWE","fieldturf","outdoors","33","FieldTurf CORE","NWE","FieldTurf CORE/Revolution 360","Other Artificial","Artificial Turf",1,"FieldTurf CORE/Revolution 360","NE 2019"
"1609","NE",2019,"12/29/2019","13:00","13:00","","MIA",17,16,"Sun","L 24-27","","NWE","fieldturf","outdoors","43","FieldTurf CORE","NWE","FieldTurf CORE/Revolution 360","Other Artificial","Artificial Turf",0,"FieldTurf CORE/Revolution 360","NE 2019"
"1610","NYG",2019,"10/10/2019","20:20","20:20","@","NE",6,6,"Thu","L 14-35","","NWE","fieldturf","outdoors","54","FieldTurf CORE","NWE","FieldTurf CORE/Revolution 360","Other Artificial","Artificial Turf",0,"FieldTurf CORE/Revolution 360","NYG 2019"
"1611","NYJ",2019,"9/22/2019","13:00","13:00","@","NE",3,3,"Sun","L 14-30","","NWE","fieldturf","outdoors","81","FieldTurf CORE","NWE","FieldTurf CORE/Revolution 360","Other Artificial","Artificial Turf",0,"FieldTurf CORE/Revolution 360","NYJ 2019"
"1612","PIT",2019,"9/8/2019","20:20","20:20","@","NE",1,1,"Sun","L 3-33","","NWE","fieldturf","outdoors","66","FieldTurf CORE","NWE","FieldTurf CORE/Revolution 360","Other Artificial","Artificial Turf",1,"FieldTurf CORE/Revolution 360","PIT 2019"
"1613","BUF",2018,"12/23/2018","13:00","13:00","@","NE",16,15,"Sun","L 12-24","","NWE","fieldturf","outdoors","40","FieldTurf CORE","NWE","FieldTurf CORE/Revolution 360","Other Artificial","Artificial Turf",3,"FieldTurf CORE/Revolution 360","BUF 2018"
"1614","GB",2018,"11/4/2018","20:20","20:20","@","NE",9,8,"Sun","L 17-31","","NWE","fieldturf","outdoors","40","FieldTurf CORE","NWE","FieldTurf CORE/Revolution 360","Other Artificial","Artificial Turf",1,"FieldTurf CORE/Revolution 360","GB 2018"
"1615","HOU",2018,"9/9/2018","13:00","13:00","@","NE",1,1,"Sun","L 20-27","","NWE","fieldturf","outdoors","62","FieldTurf CORE","NWE","FieldTurf CORE/Revolution 360","Other Artificial","Artificial Turf",2,"FieldTurf CORE/Revolution 360","HOU 2018"
"1616","IND",2018,"10/4/2018","20:20","20:20","@","NE",5,5,"Thu","L 24-38","","NWE","fieldturf","outdoors","66","FieldTurf CORE","NWE","FieldTurf CORE/Revolution 360","Other Artificial","Artificial Turf",3,"FieldTurf CORE/Revolution 360","IND 2018"
"1617","KC",2018,"10/14/2018","20:20","20:20","@","NE",6,6,"Sun","L 40-43","","NWE","fieldturf","outdoors","45","FieldTurf CORE","NWE","FieldTurf CORE/Revolution 360","Other Artificial","Artificial Turf",0,"FieldTurf CORE/Revolution 360","KC 2018"
"1618","MIA",2018,"9/30/2018","13:00","13:00","@","NE",4,4,"Sun","L 7-38","","NWE","fieldturf","outdoors","65","FieldTurf CORE","NWE","FieldTurf CORE/Revolution 360","Other Artificial","Artificial Turf",1,"FieldTurf CORE/Revolution 360","MIA 2018"
"1619","MIN",2018,"12/2/2018","16:25","16:25","@","NE",13,12,"Sun","L 10-24","","NWE","fieldturf","outdoors","53","FieldTurf CORE","NWE","FieldTurf CORE/Revolution 360","Other Artificial","Artificial Turf",0,"FieldTurf CORE/Revolution 360","MIN 2018"
"1620","NE",2018,"9/9/2018","13:00","13:00","","HOU",1,1,"Sun","W 27-20","","NWE","fieldturf","outdoors","62","FieldTurf CORE","NWE","FieldTurf CORE/Revolution 360","Other Artificial","Artificial Turf",2,"FieldTurf CORE/Revolution 360","NE 2018"
"1621","NE",2018,"9/30/2018","13:00","13:00","","MIA",4,4,"Sun","W 38-7","","NWE","fieldturf","outdoors","65","FieldTurf CORE","NWE","FieldTurf CORE/Revolution 360","Other Artificial","Artificial Turf",0,"FieldTurf CORE/Revolution 360","NE 2018"
